sample_id	hto	hash_id	cells_loaded	donor	processing_batch	experiment	chemistry	hto_panel	adt_panel
OCRZ011-A	HTO_01	1	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-A	HTO_02	2	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-A	HTO_03	3	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-A	HTO_04	4	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-A	HTO_05	5	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-B	HTO_01	1	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-B	HTO_02	2	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-B	HTO_03	3	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-B	HTO_04	4	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-B	HTO_05	5	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-C	HTO_01	1	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-C	HTO_02	2	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
OCRZ011-C	HTO_03	3	3000	OCRZ011	KA-003	CITE-seq	10x 3' Gene Expression + Feature Barcoding v3.1	TotalSeq-B Anti-Human Hashtag	TotalSeq-B Human Universal Cocktail v1.0
